gl_account,account_description,account_group,account_type
300049,e-enable end-to-end platforms,Equity,Balance Sheet
300050,expedite one-to-one infrastructures,Equity,Balance Sheet
400001,Deep Revenue,Revenue,P&L
400002,Strategy Revenue,Revenue,P&L
400003,Whole Revenue,Revenue,P&L
400004,Article Revenue,Revenue,P&L
400005,Management Revenue,Revenue,P&L
400006,On Revenue,Revenue,P&L
400007,Serve Revenue,Revenue,P&L
400008,Light Revenue,Revenue,P&L
400009,Leave Revenue,Revenue,P&L
400010,Husband Revenue,Revenue,P&L
400011,Smile Revenue,Revenue,P&L
400012,Focus Revenue,Revenue,P&L
400013,Who Revenue,Revenue,P&L
400014,Available Revenue,Revenue,P&L
400015,Forget Revenue,Revenue,P&L
400016,Worker Revenue,Revenue,P&L
400017,Task Revenue,Revenue,P&L
400018,His Revenue,Revenue,P&L
400019,Southern Revenue,Revenue,P&L
400020,Day Revenue,Revenue,P&L
400021,Trip Revenue,Revenue,P&L
400022,Thought Revenue,Revenue,P&L
400023,Upon Revenue,Revenue,P&L
400024,Issue Revenue,Revenue,P&L
400025,Side Revenue,Revenue,P&L
400026,Bed Revenue,Revenue,P&L
400027,Support Revenue,Revenue,P&L
400028,Process Revenue,Revenue,P&L
400029,Knowledge Revenue,Revenue,P&L
400030,Three Revenue,Revenue,P&L
400031,Local Revenue,Revenue,P&L
400032,Student Revenue,Revenue,P&L
400033,Question Revenue,Revenue,P&L
400034,Black Revenue,Revenue,P&L
400035,Player Revenue,Revenue,P&L
400036,Author Revenue,Revenue,P&L
400037,Low Revenue,Revenue,P&L
400038,Program Revenue,Revenue,P&L
400039,Newspaper Revenue,Revenue,P&L
400040,Social Revenue,Revenue,P&L
400041,Hot Revenue,Revenue,P&L
400042,Reality Revenue,Revenue,P&L
400043,Order Revenue,Revenue,P&L
400044,Wall Revenue,Revenue,P&L
400045,Member Revenue,Revenue,P&L
400046,Participant Revenue,Revenue,P&L
400047,Southern Revenue,Revenue,P&L
400048,Detail Revenue,Revenue,P&L
400049,Shake Revenue,Revenue,P&L
400050,Watch Revenue,Revenue,P&L
400051,Dark Revenue,Revenue,P&L
400052,Wait Revenue,Revenue,P&L
400053,Lead Revenue,Revenue,P&L
400054,Third Revenue,Revenue,P&L
400055,Country Revenue,Revenue,P&L
400056,Unit Revenue,Revenue,P&L
400057,Stop Revenue,Revenue,P&L
400058,More Revenue,Revenue,P&L
400059,Say Revenue,Revenue,P&L
400060,Doctor Revenue,Revenue,P&L
400061,Various Revenue,Revenue,P&L
400062,South Revenue,Revenue,P&L
400063,Administration Revenue,Revenue,P&L
400064,Positive Revenue,Revenue,P&L
400065,Pull Revenue,Revenue,P&L
400066,Society Revenue,Revenue,P&L
400067,Radio Revenue,Revenue,P&L
400068,Remain Revenue,Revenue,P&L
400069,No Revenue,Revenue,P&L
400070,Born Revenue,Revenue,P&L
400071,Magazine Revenue,Revenue,P&L
400072,Evening Revenue,Revenue,P&L
400073,Two Revenue,Revenue,P&L
400074,Charge Revenue,Revenue,P&L
400075,Physical Revenue,Revenue,P&L
400076,Order Revenue,Revenue,P&L
400077,Only Revenue,Revenue,P&L
400078,Study Revenue,Revenue,P&L
400079,Create Revenue,Revenue,P&L
400080,Talk Revenue,Revenue,P&L
400081,Should Revenue,Revenue,P&L
400082,Effort Revenue,Revenue,P&L
400083,Late Revenue,Revenue,P&L
400084,Top Revenue,Revenue,P&L
400085,Half Revenue,Revenue,P&L
400086,Down Revenue,Revenue,P&L
400087,Read Revenue,Revenue,P&L
400088,My Revenue,Revenue,P&L
400089,Expert Revenue,Revenue,P&L
400090,Lawyer Revenue,Revenue,P&L
400091,Task Revenue,Revenue,P&L
400092,Officer Revenue,Revenue,P&L
400093,Next Revenue,Revenue,P&L
400094,Including Revenue,Revenue,P&L
400095,Need Revenue,Revenue,P&L
400096,Smile Revenue,Revenue,P&L
400097,Participant Revenue,Revenue,P&L
400098,Deal Revenue,Revenue,P&L
400099,Create Revenue,Revenue,P&L
400100,Far Revenue,Revenue,P&L
400101,Culture Revenue,Revenue,P&L
400102,City Revenue,Revenue,P&L
400103,Trip Revenue,Revenue,P&L
400104,Significant Revenue,Revenue,P&L
400105,Claim Revenue,Revenue,P&L
400106,Sport Revenue,Revenue,P&L
400107,Reason Revenue,Revenue,P&L
400108,Strong Revenue,Revenue,P&L
400109,When Revenue,Revenue,P&L
400110,Teach Revenue,Revenue,P&L
400111,Contain Revenue,Revenue,P&L
400112,Rich Revenue,Revenue,P&L
400113,Left Revenue,Revenue,P&L
400114,Throw Revenue,Revenue,P&L
400115,Tell Revenue,Revenue,P&L
400116,Both Revenue,Revenue,P&L
400117,Yes Revenue,Revenue,P&L
400118,He Revenue,Revenue,P&L
400119,Fact Revenue,Revenue,P&L
400120,Wide Revenue,Revenue,P&L
400121,Common Revenue,Revenue,P&L
400122,Wait Revenue,Revenue,P&L
400123,Young Revenue,Revenue,P&L
400124,Table Revenue,Revenue,P&L
400125,Success Revenue,Revenue,P&L
400126,Natural Revenue,Revenue,P&L
400127,Just Revenue,Revenue,P&L
400128,Increase Revenue,Revenue,P&L
400129,Story Revenue,Revenue,P&L
400130,Great Revenue,Revenue,P&L
400131,Prove Revenue,Revenue,P&L
400132,Church Revenue,Revenue,P&L
400133,Technology Revenue,Revenue,P&L
400134,Attention Revenue,Revenue,P&L
400135,Style Revenue,Revenue,P&L
400136,Wife Revenue,Revenue,P&L
400137,Design Revenue,Revenue,P&L
400138,Think Revenue,Revenue,P&L
400139,Provide Revenue,Revenue,P&L
400140,Number Revenue,Revenue,P&L
400141,Record Revenue,Revenue,P&L
400142,Century Revenue,Revenue,P&L
400143,Capital Revenue,Revenue,P&L
400144,Possible Revenue,Revenue,P&L
400145,Anything Revenue,Revenue,P&L
400146,Current Revenue,Revenue,P&L
400147,Politics Revenue,Revenue,P&L
400148,Him Revenue,Revenue,P&L
400149,Mother Revenue,Revenue,P&L
400150,Floor Revenue,Revenue,P&L
500001,More COGS,COGS,P&L
500002,Dog COGS,COGS,P&L
500003,Eat COGS,COGS,P&L
500004,Do COGS,COGS,P&L
500005,Summer COGS,COGS,P&L
500006,Middle COGS,COGS,P&L
500007,Much COGS,COGS,P&L
500008,Current COGS,COGS,P&L
500009,Lawyer COGS,COGS,P&L
500010,Natural COGS,COGS,P&L
500011,Whatever COGS,COGS,P&L
500012,Issue COGS,COGS,P&L
500013,Involve COGS,COGS,P&L
500014,Program COGS,COGS,P&L
500015,Account COGS,COGS,P&L
500016,Among COGS,COGS,P&L
500017,Want COGS,COGS,P&L
500018,Voice COGS,COGS,P&L
500019,American COGS,COGS,P&L
500020,Up COGS,COGS,P&L
500021,Paper COGS,COGS,P&L
500022,Much COGS,COGS,P&L
500023,Program COGS,COGS,P&L
500024,At COGS,COGS,P&L
500025,Various COGS,COGS,P&L
500026,Entire COGS,COGS,P&L
500027,Improve COGS,COGS,P&L
500028,Rise COGS,COGS,P&L
500029,Clear COGS,COGS,P&L
500030,Language COGS,COGS,P&L
500031,Seven COGS,COGS,P&L
500032,Go COGS,COGS,P&L
500033,Military COGS,COGS,P&L
500034,Wife COGS,COGS,P&L
500035,Medical COGS,COGS,P&L
500036,Raise COGS,COGS,P&L
500037,Fill COGS,COGS,P&L
500038,Matter COGS,COGS,P&L
500039,Go COGS,COGS,P&L
500040,Beat COGS,COGS,P&L
500041,Way COGS,COGS,P&L
500042,Place COGS,COGS,P&L
500043,Order COGS,COGS,P&L
500044,Office COGS,COGS,P&L
500045,Health COGS,COGS,P&L
500046,Power COGS,COGS,P&L
500047,Understand COGS,COGS,P&L
500048,Research COGS,COGS,P&L
500049,Appear COGS,COGS,P&L
500050,Provide COGS,COGS,P&L
600002,Maybe Expense,Expenses,P&L
600003,And Expense,Expenses,P&L
600004,Produce Expense,Expenses,P&L
600005,Yeah Expense,Expenses,P&L
600006,Treat Expense,Expenses,P&L
600007,All Expense,Expenses,P&L
600008,Seek Expense,Expenses,P&L
600009,Only Expense,Expenses,P&L
600010,Purpose Expense,Expenses,P&L
600011,Movement Expense,Expenses,P&L
600012,Leg Expense,Expenses,P&L
600013,Side Expense,Expenses,P&L
600014,Skill Expense,Expenses,P&L
600015,Contain Expense,Expenses,P&L
600016,Beat Expense,Expenses,P&L
600017,Brother Expense,Expenses,P&L
600018,Reality Expense,Expenses,P&L
600019,Investment Expense,Expenses,P&L
600020,Thought Expense,Expenses,P&L
600021,Level Expense,Expenses,P&L
600022,None Expense,Expenses,P&L
600023,Well Expense,Expenses,P&L
600024,Year Expense,Expenses,P&L
600025,Great Expense,Expenses,P&L
600026,Million Expense,Expenses,P&L
600027,Huge Expense,Expenses,P&L
600028,All Expense,Expenses,P&L
600029,Human Expense,Expenses,P&L
600030,Line Expense,Expenses,P&L
600031,Keep Expense,Expenses,P&L
600032,Small Expense,Expenses,P&L
600033,Themselves Expense,Expenses,P&L
600034,Beyond Expense,Expenses,P&L
600035,Close Expense,Expenses,P&L
600036,Partner Expense,Expenses,P&L
600037,Learn Expense,Expenses,P&L
600038,Again Expense,Expenses,P&L
600039,Message Expense,Expenses,P&L
600040,Low Expense,Expenses,P&L
600041,Case Expense,Expenses,P&L
600042,Increase Expense,Expenses,P&L
600043,Expert Expense,Expenses,P&L
600044,Bit Expense,Expenses,P&L
600045,Lose Expense,Expenses,P&L
600046,Music Expense,Expenses,P&L
600047,Much Expense,Expenses,P&L
600048,Only Expense,Expenses,P&L
600049,Nation Expense,Expenses,P&L
600050,Including Expense,Expenses,P&L
600051,Under Expense,Expenses,P&L
600052,Different Expense,Expenses,P&L
600053,Child Expense,Expenses,P&L
600054,But Expense,Expenses,P&L
600055,Machine Expense,Expenses,P&L
600056,Pull Expense,Expenses,P&L
600057,Meet Expense,Expenses,P&L
600058,Answer Expense,Expenses,P&L
600059,Identify Expense,Expenses,P&L
600060,You Expense,Expenses,P&L
600061,General Expense,Expenses,P&L
600062,Theory Expense,Expenses,P&L
600063,Fine Expense,Expenses,P&L
600064,Manager Expense,Expenses,P&L
600065,Look Expense,Expenses,P&L
600066,Professional Expense,Expenses,P&L
600067,Wait Expense,Expenses,P&L
600068,Operation Expense,Expenses,P&L
600069,Herself Expense,Expenses,P&L
600070,Start Expense,Expenses,P&L
600071,Memory Expense,Expenses,P&L
600072,Experience Expense,Expenses,P&L
600073,College Expense,Expenses,P&L
600074,Before Expense,Expenses,P&L
600075,Research Expense,Expenses,P&L
600076,Analysis Expense,Expenses,P&L
600077,Generation Expense,Expenses,P&L
600078,Finish Expense,Expenses,P&L
600079,Kind Expense,Expenses,P&L
600080,Season Expense,Expenses,P&L
600081,Attention Expense,Expenses,P&L
600082,Thought Expense,Expenses,P&L
600083,Involve Expense,Expenses,P&L
600084,Simply Expense,Expenses,P&L
600085,Environment Expense,Expenses,P&L
600086,Weight Expense,Expenses,P&L
600087,Song Expense,Expenses,P&L
600088,Effect Expense,Expenses,P&L
600089,Want Expense,Expenses,P&L
600090,Writer Expense,Expenses,P&L
600091,Claim Expense,Expenses,P&L
600092,Concern Expense,Expenses,P&L
600093,Capital Expense,Expenses,P&L
600094,Type Expense,Expenses,P&L
600095,Now Expense,Expenses,P&L
600096,Be Expense,Expenses,P&L
600097,Cultural Expense,Expenses,P&L
600098,Stock Expense,Expenses,P&L
600099,Pick Expense,Expenses,P&L
600100,Commercial Expense,Expenses,P&L
600101,Late Expense,Expenses,P&L
600102,Bed Expense,Expenses,P&L
600103,Project Expense,Expenses,P&L
600104,That Expense,Expenses,P&L
600105,Drop Expense,Expenses,P&L
600106,Structure Expense,Expenses,P&L
600107,Best Expense,Expenses,P&L
600108,Own Expense,Expenses,P&L
600109,Likely Expense,Expenses,P&L
600110,We Expense,Expenses,P&L
600111,Operation Expense,Expenses,P&L
600112,I Expense,Expenses,P&L
600113,Board Expense,Expenses,P&L
600114,Group Expense,Expenses,P&L
600115,Long Expense,Expenses,P&L
600116,Production Expense,Expenses,P&L
600117,Usually Expense,Expenses,P&L
600118,Medical Expense,Expenses,P&L
600119,Energy Expense,Expenses,P&L
600120,Official Expense,Expenses,P&L
600121,Item Expense,Expenses,P&L
600122,Pass Expense,Expenses,P&L
600123,Across Expense,Expenses,P&L
600124,Clear Expense,Expenses,P&L
600125,Eye Expense,Expenses,P&L
600126,Benefit Expense,Expenses,P&L
600127,Draw Expense,Expenses,P&L
600128,Audience Expense,Expenses,P&L
600129,Forget Expense,Expenses,P&L
600130,Site Expense,Expenses,P&L
600131,Serve Expense,Expenses,P&L
600132,Always Expense,Expenses,P&L
600133,Seem Expense,Expenses,P&L
600134,Choice Expense,Expenses,P&L
600135,Certain Expense,Expenses,P&L
600136,Seat Expense,Expenses,P&L
600137,Operation Expense,Expenses,P&L
600138,Development Expense,Expenses,P&L
600139,Their Expense,Expenses,P&L
600140,Factor Expense,Expenses,P&L
600141,Option Expense,Expenses,P&L
600142,Send Expense,Expenses,P&L
600143,Prepare Expense,Expenses,P&L
600144,Call Expense,Expenses,P&L
600145,Thank Expense,Expenses,P&L
600146,Law Expense,Expenses,P&L
600147,Garden Expense,Expenses,P&L
600148,Attorney Expense,Expenses,P&L
600149,Then Expense,Expenses,P&L
600150,Pick Expense,Expenses,P&L
600151,Rich Expense,Expenses,P&L
600152,Feeling Expense,Expenses,P&L
600153,Report Expense,Expenses,P&L
600154,Little Expense,Expenses,P&L
600155,Grow Expense,Expenses,P&L
600156,Individual Expense,Expenses,P&L
600157,Break Expense,Expenses,P&L
600158,Law Expense,Expenses,P&L
600159,Hard Expense,Expenses,P&L
600160,Try Expense,Expenses,P&L
600161,Because Expense,Expenses,P&L
600162,Court Expense,Expenses,P&L
600163,Risk Expense,Expenses,P&L
600164,Open Expense,Expenses,P&L
600165,Foreign Expense,Expenses,P&L
600166,Ten Expense,Expenses,P&L
600167,Boy Expense,Expenses,P&L
600168,List Expense,Expenses,P&L
600169,Theory Expense,Expenses,P&L
600170,Site Expense,Expenses,P&L
600171,Alone Expense,Expenses,P&L
600172,While Expense,Expenses,P&L
600173,Budget Expense,Expenses,P&L
600174,Democratic Expense,Expenses,P&L
600175,Authority Expense,Expenses,P&L
600176,Assume Expense,Expenses,P&L
600177,Road Expense,Expenses,P&L
600178,Fish Expense,Expenses,P&L
600179,Mention Expense,Expenses,P&L
600180,Away Expense,Expenses,P&L
600181,Win Expense,Expenses,P&L
600182,Change Expense,Expenses,P&L
600183,Development Expense,Expenses,P&L
600184,Report Expense,Expenses,P&L
600185,Image Expense,Expenses,P&L
600186,Series Expense,Expenses,P&L
600187,Maybe Expense,Expenses,P&L
600188,Especially Expense,Expenses,P&L
600189,Read Expense,Expenses,P&L
600190,Nation Expense,Expenses,P&L
600191,Through Expense,Expenses,P&L
600192,Build Expense,Expenses,P&L
600193,Certain Expense,Expenses,P&L
600194,Technology Expense,Expenses,P&L
600195,All Expense,Expenses,P&L
600196,Owner Expense,Expenses,P&L
600197,Enjoy Expense,Expenses,P&L
600198,Figure Expense,Expenses,P&L
600199,Phone Expense,Expenses,P&L
600200,Standard Expense,Expenses,P&L
600201,Law Expense,Expenses,P&L
600202,Girl Expense,Expenses,P&L
600203,Water Expense,Expenses,P&L
600204,Idea Expense,Expenses,P&L
600205,Trouble Expense,Expenses,P&L
600206,Line Expense,Expenses,P&L
600207,If Expense,Expenses,P&L
600208,Gas Expense,Expenses,P&L
600209,Western Expense,Expenses,P&L
600210,Risk Expense,Expenses,P&L
600211,Black Expense,Expenses,P&L
600212,About Expense,Expenses,P&L
600213,Hit Expense,Expenses,P&L
600214,Project Expense,Expenses,P&L
600215,Inside Expense,Expenses,P&L
600216,Style Expense,Expenses,P&L
600217,Check Expense,Expenses,P&L
600218,Notice Expense,Expenses,P&L
600219,Close Expense,Expenses,P&L
600220,Vote Expense,Expenses,P&L
600221,Soon Expense,Expenses,P&L
600222,However Expense,Expenses,P&L
600223,Suggest Expense,Expenses,P&L
600224,Look Expense,Expenses,P&L
600225,Always Expense,Expenses,P&L
600226,Particularly Expense,Expenses,P&L
600227,Man Expense,Expenses,P&L
600228,Require Expense,Expenses,P&L
600229,High Expense,Expenses,P&L
600230,Now Expense,Expenses,P&L
600231,Throughout Expense,Expenses,P&L
600232,As Expense,Expenses,P&L
600233,Amount Expense,Expenses,P&L
600234,Against Expense,Expenses,P&L
600235,Hospital Expense,Expenses,P&L
600236,Agree Expense,Expenses,P&L
600237,Task Expense,Expenses,P&L
600238,Billion Expense,Expenses,P&L
600239,Those Expense,Expenses,P&L
600240,Buy Expense,Expenses,P&L
600241,Including Expense,Expenses,P&L
600242,Work Expense,Expenses,P&L
600243,Success Expense,Expenses,P&L
600244,Election Expense,Expenses,P&L
600245,Goal Expense,Expenses,P&L
600246,Character Expense,Expenses,P&L
600247,Brother Expense,Expenses,P&L
600248,Thank Expense,Expenses,P&L
600249,Already Expense,Expenses,P&L
600250,Himself Expense,Expenses,P&L
700001,Interest Income,Other Income,P&L
700002,Interest Expense,Other Expenses,P&L
700003,Income Tax Expense,Taxes,P&L
